team,score,pnw_rank
frc2910,2073.6720666666674,1
frc2147,2020.6152000000004,4
frc2046,2010.1747833333345,11
frc2976,1998.3870833333342,2
frc997,1992.9974500000008,8
frc1595,1978.7379333333336,5
frc4131,1978.3622499999997,33
frc6350,1973.7308833333336,20
frc3711,1964.9008000000006,21
frc3218,1959.7719999999997,25
frc7461,1934.225016666666,27
frc2930,1932.7185000000009,7
frc2928,1931.1619666666675,40
frc2990,1914.3358166666671,28
frc4089,1913.2266666666678,22
frc488,1912.6468333333337,34
frc4911,1910.130883333334,6
frc1540,1904.0659166666667,30
frc955,1903.3973000000003,10
frc2471,1900.33705,3
frc7034,1898.0029833333338,19
frc957,1896.9756833333327,14
frc3663,1892.8693833333339,24
frc4512,1891.0534499999994,13
frc4488,1883.7076499999998,9
frc2521,1875.493016666667,16
frc2557,1867.4962,18
frc3674,1864.7271666666668,12
frc360,1863.2289,26
frc3636,1859.980966666667,32
frc6831,1855.8086666666668,35
frc2811,1852.85115,15
frc2522,1839.0666500000002,23
frc568,1833.3937666666668,47
frc1425,1830.3366666666668,31
frc1899,1828.6291500000007,36
frc4915,1819.5247500000003,42
frc1359,1795.093133333333,41
frc2635,1789.8153333333332,46
frc2412,1789.5097833333325,45
frc5827,1775.1107166666663,29
frc4125,1772.935683333333,38
frc5920,1770.3503666666663,43
frc3786,1764.8625666666658,44
frc4513,1758.3726333333339,37
frc8532,1754.4683666666665,50
frc4043,1752.0458999999994,48
frc1294,1745.3055000000004,39
frc8248,1720.8207166666664,49
